Name,Cancellations Total,Cancellations US,Delays Total,Delays US,Page Key,Parse Status,Snapshot GMT,Source URL,Target Date ET
2026-03-31 yesterday,1121,441,26205,5925,yesterday,success,2026年4月2日 00:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,544,103,14517,1618,today,success,2026年4月2日 00:00 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,109,9,747,0,tomorrow,success,2026年4月2日 00:00 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,18,2,33,0,plus2days,success,2026年4月2日 00:00 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26205,5924,yesterday,success,2026年4月2日 00:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,558,108,14517,1618,today,success,2026年4月2日 00:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,110,9,747,0,tomorrow,success,2026年4月2日 00:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,20,2,33,0,plus2days,success,2026年4月2日 00:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26207,5929,yesterday,success,2026年4月2日 00:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,567,113,14807,1722,today,success,2026年4月2日 00:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,111,9,772,0,tomorrow,success,2026年4月2日 00:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,20,2,34,0,plus2days,success,2026年4月2日 00:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26220,5938,yesterday,success,2026年4月2日 00:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,577,114,15125,1839,today,success,2026年4月2日 00:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,114,9,834,0,tomorrow,success,2026年4月2日 00:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,20,2,33,0,plus2days,success,2026年4月2日 00:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 01:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26223,5939,yesterday,success,2026年4月2日 01:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,579,115,15459,1937,today,success,2026年4月2日 01:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,117,9,860,0,tomorrow,success,2026年4月2日 01:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,20,2,37,0,plus2days,success,2026年4月2日 01:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26223,5939,yesterday,success,2026年4月2日 01:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,581,116,15459,1937,today,success,2026年4月2日 01:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,120,11,860,0,tomorrow,success,2026年4月2日 01:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,20,2,37,0,plus2days,success,2026年4月2日 01:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26228,5941,yesterday,success,2026年4月2日 01:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,591,116,15741,2024,today,success,2026年4月2日 01:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,120,11,890,0,tomorrow,success,2026年4月2日 01:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,20,2,37,0,plus2days,success,2026年4月2日 01:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26229,5940,yesterday,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,593,116,16019,2114,today,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-03-31 yesterday,1121,441,26229,5940,yesterday,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-02 tomorrow,122,11,910,0,tomorrow,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,21,3,37,0,plus2days,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-04-01 today,593,116,16019,2114,today,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,122,11,910,0,tomorrow,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,21,3,37,0,plus2days,success,2026年4月2日 01:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 02:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26234,5945,yesterday,success,2026年4月2日 02:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,599,116,16332,2224,today,success,2026年4月2日 02:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,122,11,918,0,tomorrow,success,2026年4月2日 02:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,21,3,37,0,plus2days,success,2026年4月2日 02:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26234,5945,yesterday,success,2026年4月2日 02:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,610,119,16332,2224,today,success,2026年4月2日 02:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,122,11,918,0,tomorrow,success,2026年4月2日 02:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,21,3,37,0,plus2days,success,2026年4月2日 02:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26243,5953,yesterday,success,2026年4月2日 02:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,613,119,16644,2346,today,success,2026年4月2日 02:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,133,22,941,0,tomorrow,success,2026年4月2日 02:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,22,4,38,0,plus2days,success,2026年4月2日 02:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
